City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,camana,-16.6228,-72.7111,22.58,83,83,3.37,PE,1712609332
266,nagqu,31.5,92.0,-1.9,29,99,3.38,CN,1712609333
267,cadale,2.7603,46.3222,28.96,77,91,4.09,SO,1712609333
268,vryburg,-26.9566,24.7284,12.9,53,7,1.04,ZA,1712609333
269,hotan,37.0997,79.9269,13.68,19,0,2.82,CN,1712609333
270,narasannapeta,18.4167,84.05,25.23,68,1,2.15,IN,1712609333
271,west end,26.6833,-78.9667,23.99,62,81,8.5,BS,1712609297
272,mammoth lakes,37.6485,-118.9721,5.4,28,0,3.09,US,1712609225
273,lobujya,27.95,86.8167,-19.05,69,77,2.73,NP,1712609334
274,mount pearl,47.5166,-52.7813,-0.48,92,100,9.26,CA,1712609198
275,dzuunharaa,48.8523,106.4579,4.23,68,100,0.71,MN,1712609254
276,smedjebacken,60.1418,15.4142,8.28,96,100,1.69,SE,1712609334
277,krasnokamsk,58.0802,55.7541,2.09,98,100,3.24,RU,1712609335
278,pointe aux piments,-20.0628,57.5131,25.85,85,24,1.36,MU,1712609335
279,khao wong,16.7001,104.0902,27.78,76,22,3.33,TH,1712609335
280,chom bueng,13.62,99.5917,26.9,64,64,0.79,TH,1712609335
281,padangsidempuan,1.3667,99.2667,22.91,99,97,0.35,ID,1712609335
282,dhidhdhoo,6.8833,73.1,28.97,72,40,1.73,MV,1712609094
283,mondlo,-27.983,30.7177,14.45,96,96,3.13,ZA,1712609336
284,praia da vitoria,38.7333,-27.0667,17.14,94,40,4.83,PT,1712609336
285,darovskoy,58.77,47.9564,4.76,89,52,4.21,RU,1712609336
286,ad darb,17.7229,42.2526,30.48,51,20,3.8,SA,1712609336
287,thompson,55.7435,-97.8558,16.09,13,20,2.57,CA,1712609336
288,kenai,60.5544,-151.2583,3.05,51,0,1.54,US,1712609336
289,hasanpur,28.7167,78.2833,23.37,12,0,1.06,IN,1712609337
290,zaozersk,69.4005,32.4476,-3.67,96,100,3.63,RU,1712609337
291,porto empedocle,37.2934,13.5264,15.8,77,58,3.12,IT,1712609337
